Date,Close
1/3/2017,43.4
1/4/2017,45.4
1/5/2017,45.35
1/6/2017,45.8
1/9/2017,46.26
1/10/2017,45.97
1/11/2017,45.95
1/12/2017,45.92
1/13/2017,47.55
1/17/2017,47.12
1/18/2017,47.67
1/19/2017,48.75
1/20/2017,48.95
1/23/2017,49.78
1/24/2017,50.92
1/25/2017,50.89
1/26/2017,50.5
1/27/2017,50.59
1/30/2017,50.13
1/31/2017,50.39
2/1/2017,49.85
2/2/2017,50.31
2/3/2017,50.27
2/6/2017,51.55
2/7/2017,51.5
2/8/2017,52.42
2/9/2017,53.84
2/10/2017,53.85
2/13/2017,56.12
2/14/2017,56.2
2/15/2017,55.95
2/16/2017,53.79
2/17/2017,54.45
2/21/2017,55.48
2/22/2017,54.7
2/23/2017,51.2
2/24/2017,51.4
2/27/2017,49.25
2/28/2017,50
3/1/2017,50
3/2/2017,50.1
3/3/2017,50.31
3/6/2017,50.24
3/7/2017,49.72
3/8/2017,49.37
3/9/2017,48.98
3/10/2017,48.74
3/13/2017,49.23
3/14/2017,51.6
3/15/2017,51.15
3/16/2017,52.41
3/17/2017,52.3
3/20/2017,52.38
3/21/2017,50.14
3/22/2017,51
3/23/2017,50.96
3/24/2017,52.63
3/27/2017,54.04
3/28/2017,55.49
3/29/2017,55.48
3/30/2017,55.58
3/31/2017,55.66
4/3/2017,59.7
4/4/2017,60.74
4/5/2017,59
4/6/2017,59.74
4/7/2017,60.51
4/10/2017,62.48
4/11/2017,61.74
4/12/2017,59.37
4/13/2017,60.8
4/17/2017,60.29
4/18/2017,60.05
4/19/2017,61.1
4/20/2017,60.5
4/21/2017,61.12
4/24/2017,61.61
4/25/2017,62.76
4/26/2017,62.03
4/27/2017,61.73
4/28/2017,62.81
5/1/2017,64.57
5/2/2017,63.78
5/3/2017,62.2
5/4/2017,59.09
5/5/2017,61.67
5/8/2017,61.44
5/9/2017,64.25
5/10/2017,65.04
5/11/2017,64.62
5/12/2017,64.96
5/15/2017,63.18
5/16/2017,63.4
